,Factory Name,Address,Country,Total Number of Workers,Men,Women,Total Men Percentage,Total Women Percentage,Total Employee
0,AB Apparels Ltd,225 Singair Road Hemayetpur Savar Dhaka Dhaka 1340,Bangladesh,2212,1202.0,1010.0,(54.3)%,(45.7)%,2212.0
1,ABA Fashion Limited,521 1 Vill Post Gacha Gazipur Dhaka 1712,Bangladesh,2985,910.0,2075.0,(30.5)%,(69.5)%,2985.0
2,Aboni Knitwear Ltd,Plot 169 171 Union Hemayetpur Savar Dhaka Dhaka 1340,Bangladesh,3541,2119.0,1422.0,(59.8)%,(40.2)%,3541.0
3,Afiya Knitwear Ltd,10 2 Durgapur Ashulia Savar Dhaka Dhaka 1341,Bangladesh,683,413.0,270.0,(60.5)%,(39.5)%,683.0
4,AKH Apparels Ltd,128 Hemayetpur Savar Dhaka Dhaka 1340,Bangladesh,5655,2450.0,3205.0,(43.3)%,(56.7)%,5655.0
5,Alfa Patterns BD Ltd,Plot 58 DEPZ (Old) Ganakbar Savar Dhaka Dhaka 1349,Bangladesh,761,366.0,395.0,(48.1)%,(51.9)%,761.0
6,Ananta Apparels Ltd Siddirgonj,Plot No 246-249 Adamjee Epz Siddigonj Narayangonj Narayangonj 1431,Bangladesh,4492,1492.0,3000.0,(33.2)%,(66.8)%,4492.0
7,Ananta Huaxiang Ltd,"176 177,178,179, 222 223 H1 H2 H3 H4 Adamjee EPZ ShiddirgonjNarayanganj Narayangonj 1431",Bangladesh,5009,2970.0,2039.0,(59.3)%,(40.7)%,5009.0
8,Aspire Garments Ltd,491 Dhalla Singair Manikganj Manikganj 1822,Bangladesh,2692,1119.0,1573.0,(41.6)%,(58.4)%,2692.0
9,AST Knitwear Ltd,"Plot No 3 1 Ground to 6th floor Block East Chandana Joydevpur GazipurGazipur 1700",Bangladesh,1257,821.0,436.0,(65.3)%,(34.7)%,1257.0
10,ATS Apparels Ltd,414 Kouchakuri Telirchala Mouchak Kaliakoir Gazipur Gazipur 1750,Bangladesh,2460,1272.0,1188.0,(51.7)%,(48.3)%,2460.0
11,Axis Knitwears Limited,Dhaka-Mymensingh Road Mawna Sreepur Gazipur Gazipur 1740,Bangladesh,2358,1344.0,1014.0,(57.0)%,(43.0)%,2358.0
12,Azmat Apparels Ltd,62 Kathagara Ashulia Savar Dhaka Dhaka 1341,Bangladesh,1796,631.0,1165.0,(35.1)%,(64.9)%,1796.0
13,Bando Eco Apparels Ltd,Plot 188 2 Block GA Chanpur Amin Bazar Savar Dhaka Dhaka 1348,Bangladesh,1989,954.0,1035.0,(48.0)%,(52.0)%,1989.0
14,BD Designs Private Limited,Plot No 48 49 Sector 03 Karnaphuli Epz Chittagong Chittagong 4204,Bangladesh,2957,873.0,2084.0,(29.5)%,(70.5)%,2957.0
15,Blue Planet Fashionwear Ltd,Kewa Sreepur Gazipur Gazipur 1740,Bangladesh,1973,974.0,999.0,(49.4)%,(50.6)%,1973.0
16,Bravo Apparel Manufacturer Ltd,Alam Tower Plot No 10 11 & 12 Block-C Himar Dighi Tongi Gazipur Gazipur,Bangladesh,2960,1411.0,1549.0,(47.7)%,(52.3)%,2960.0
17,Brothers Fashion LTD,Holding 1 Block B Ward 15 Vogra Gazipur Gazipur 1704,Bangladesh,2363,821.0,1542.0,(34.7)%,(65.3)%,2363.0
18,CA Knitwear Ltd,Mirzapur Gazipur Gazipur 1700,Bangladesh,3253,1482.0,1771.0,(45.6)%,(54.4)%,3253.0
19,Coast to Coast Pvt Ltd,Bashon Mouza 35 Chandana Itahata Sadar Gazipur Gazipur 1702,Bangladesh,4134,737.0,3397.0,(17.8)%,(82.2)%,4134.0
20,Comfit Composite Knit Ltd,Gorai Mirzapur Tangail Tangail 1941,Bangladesh,10303,6560.0,3743.0,(63.7)%,(36.3)%,10303.0
21,Consumer Knitex Limited Unit 2,Bagan Trishal Mymensingh Mymensingh 2222,Bangladesh,3271,1483.0,1788.0,(45.3)%,(54.7)%,3271.0
22,Cotton Clothing BD Ltd,Kazi Tower Sataish Road Tongi Gazipur Gazipur 1712,Bangladesh,1854,820.0,1034.0,(44.2)%,(55.8)%,1854.0
23,Crown Exclusive Wears Ltd,Mawna Sreepur Gazipur Gazipur 1740,Bangladesh,2727,1909.0,818.0,(70.0)%,(30.0)%,2727.0
24,Denim Asia Ltd,Ratanpur Road Shafipur Kaliakair Gazipur Gazipur 1751,Bangladesh,4154,2491.0,1663.0,(60.0)%,(40.0)%,4154.0
25,Designtex Knitwear Ltd,Beraiderchala Sreepur Gazipur Gazipur 1740,Bangladesh,3679,2530.0,1149.0,(68.8)%,(31.2)%,3679.0
26,Dhaka Garments & Washing Ltd,Dakkin Vangnahati South side of the road Sreepur Gazipur Gazipur 1740,Bangladesh,3435,2122.0,1313.0,(61.8)%,(38.2)%,3435.0
27,Divine Design Ltd & Alamode Apparels Ltd,12 13 BSCIC I A Kalurghat Chittagong Chittagong 3343,Bangladesh,2198,727.0,1471.0,(33.1)%,(66.9)%,2198.0
28,Echotex Ltd,Chandra Pollibiddyut Kaliakoir Gazipur Gazipur 1751,Bangladesh,17871,11305.0,6566.0,(63.3)%,(36.7)%,17871.0
29,Esquire Knit Composite Ltd,Unit 1 Plot B34 BSCIC I A Kanchpur Narayangonj Narayangonj 1430,Bangladesh,583,127.0,456.0,(21.8)%,(78.2)%,583.0
30,Euphoria Apparels Ltd,Jamgora Simultola Ashulia Dhaka Dhaka 1344,Bangladesh,2302,748.0,1554.0,(32.5)%,(67.5)%,2302.0
31,Faiza Industries Ltd,RS 425 Konabari Kashem Cotton Mill Joydepur Gazipur Gazipur 1346,Bangladesh,1740,383.0,1357.0,(22.0)%,(78.0)%,1740.0
32,Fakir Apparels Ltd,"BSCIC Industrial Area Plot A 142 145 Enayanthnagar Shashangoan FatullahNarayangonj Narayangonj 1400",Bangladesh,10670,6856.0,3814.0,(64.3)%,(35.7)%,10670.0
33,Fame Apparels Ltd,"Plot B 188 189 201 & 211 BSCIC Fatullah Shashongaon NarayangonjNarayangonj 1421",Bangladesh,2104,1470.0,634.0,(69.9)%,(30.1)%,2104.0
34,Far East Knitting & Dyeing Industries Ltd,Chandona Thana Kaliakoir Gazipur Gazipur 1751,Bangladesh,6326,4138.0,2188.0,(65.4)%,(34.6)%,6326.0
35,Four Brothers Fashion,"66 68 Haji Dil Mohammad Avenue Dhaka Uddan Mohammadpur Dhaka Dhaka1207",Bangladesh,2286,982.0,1304.0,(43.0)%,(57.0)%,2286.0
36,Four H Apparels Ltd,295 Jalalabad Baluchara Hathazari Road Chittagong Chittagong 4214,Bangladesh,3439,2835.0,604.0,(82.4)%,(17.6)%,3439.0
37,Frame House Footwear Ltd,Dakhsin Para Thana Bus Stand Dhamrai Manikganj Manikganj 1350,Bangladesh,1714,858.0,856.0,(50.1)%,(49.9)%,1714.0
